,flood_hit_rate,flood_false_alarm,drought_hit_rate,drought_false_alarm,avg_lead_time,total_alerts,city
0,0.2609,0.8027,1.0,0.0021,29.5217,12497,Chipata
1,0.5,0.8714,1.0,0.002,29.7692,13594,Choma
2,0.1724,0.7634,1.0,0.0008,29.0,11764,Kasama
3,0.2742,0.7275,1.0,0.0008,28.4516,11349,Kitwe
4,0.125,0.7581,1.0,0.0018,29.7917,12396,Livingstone
5,0.2963,0.8424,1.0,0.0014,28.5556,13073,Lusaka
6,0.4,0.8413,1.0,0.0017,29.8,13090,Mazabuka
7,0.186,0.7415,1.0,0.002,29.3256,11685,Mongu
8,0.2692,0.745,1.0,0.0012,28.3462,11577,Ndola
9,0.1458,0.7774,1.0,0.0008,29.2917,12002,Solwezi
